,de_price,fr_price,flow_fr_to_de,flow_de_to_fr,fr_nuclear,fr_solar_forecast,fr_wind_forecast,fr_load,de_load,de_wind,de_solar,temp_paris,temp_berlin,ttf_close,ttf_change
2022-01-06 09:00:00+00:00,215.5,245.24,0.0,3507.42,47291.0,1647.62,2006.34,78450.0,66394.88,9745.85,7035.0325,0.0,-0.3,96.5019989013672,4.979995727539077
2022-01-06 10:00:00+00:00,231.9,231.9,0.0,2946.607,47641.0,3221.63,2244.66,78250.0,68185.5925,7816.1449999999995,10276.945,2.3,0.5,96.5019989013672,4.979995727539077
2022-01-06 11:00:00+00:00,226.0,226.0,0.0,2717.727,47914.0,4144.64,2487.09,77700.0,68151.8075,6372.8125,11658.93,4.3,1.4,96.5019989013672,4.979995727539077
2022-01-06 12:00:00+00:00,209.2,209.2,0.0,1678.0535,47913.0,4441.73,2730.92,76900.0,66718.4025,5502.2425,10560.975,5.2,2.7,96.5019989013672,4.979995727539077
2022-01-06 13:00:00+00:00,216.06,216.06,0.0,1263.151,47903.0,3997.33,2899.74,74550.0,65474.3475,5120.32,7361.1025,5.8,2.8,96.5019989013672,4.979995727539077
2022-01-06 14:00:00+00:00,230.77,230.77,191.968,941.9525,47901.0,2791.39,3069.13,72050.0,65020.83,5377.8575,3111.15,5.9,2.0,96.5019989013672,4.979995727539077
2022-01-06 15:00:00+00:00,245.95,245.95,152.77,1021.6625,47915.0,1144.02,3239.93,70800.0,66253.4275,6412.9349999999995,272.3875,5.5,-1.1,96.5019989013672,4.979995727539077
2022-01-06 16:00:00+00:00,274.11,274.11,139.546,1116.2275,47950.0,78.64,3743.49,72700.0,68147.59,8252.81,0.0,4.7,-2.2,96.5019989013672,4.979995727539077
2022-01-06 17:00:00+00:00,273.44,273.44,0.0,1516.1925,48007.0,0.0,4246.32,77600.0,68023.86,10627.145,0.0,4.7,-3.0,96.5019989013672,4.979995727539077
2022-01-06 18:00:00+00:00,245.48,278.36,0.0,1822.0385,48064.0,0.0,4748.96,79700.0,66612.1525,13153.795,0.0,4.2,-2.5,96.5019989013672,4.979995727539077
2022-01-06 19:00:00+00:00,226.14,251.71,0.0,1526.649,48100.0,0.0,5015.18,75750.0,63605.3775,15326.9325,0.0,3.9,-2.0,96.5019989013672,4.979995727539077
2022-01-06 20:00:00+00:00,208.31,229.96,0.0,1392.4995,48092.0,0.0,5282.31,71300.0,61386.3575,17061.2875,0.0,3.5,-2.0,96.5019989013672,4.979995727539077
2022-01-06 21:00:00+00:00,178.75,216.44,0.0,1134.3435,48025.0,0.0,5548.36,69250.0,59965.5,18602.0425,0.0,3.7,-2.1,96.5019989013672,4.979995727539077
2022-01-06 22:00:00+00:00,124.7,210.0,0.8425,598.697,47716.0,0.0,5803.69,71800.0,56731.545,20187.0975,0.0,3.9,-2.0,96.5019989013672,4.979995727539077
2022-01-06 23:00:00+00:00,128.92,213.47,14.3125,499.2065,47787.0,0.0,7118.18,69200.0,54829.630000000005,23044.645,0.0,4.2,-1.9,96.5019989013672,4.979995727539077
2022-01-07 00:00:00+00:00,118.4,189.0,199.295,621.042,47626.0,0.0,7443.25,66500.0,53245.805,24259.5875,0.0,3.4,-1.5,88.17400360107422,-8.327995300292983
2022-01-07 01:00:00+00:00,103.01,180.0,297.07,520.901,47230.0,0.0,7378.25,65750.0,52380.99,25420.885000000002,0.0,2.8,-1.5,88.17400360107422,-8.327995300292983
2022-01-07 02:00:00+00:00,101.91,164.9,213.245,632.93,47466.0,0.0,7313.8,63100.0,52025.67,26468.7075,0.0,3.3,-1.6,88.17400360107422,-8.327995300292983
2022-01-07 03:00:00+00:00,101.98,162.8,333.91,538.124,48005.0,0.0,7249.85,62000.0,52963.1875,27602.685,0.0,3.7,-1.5,88.17400360107422,-8.327995300292983
2022-01-07 04:00:00+00:00,114.99,165.0,334.44,540.841,48067.0,0.0,7242.1,63750.0,55411.785,28757.0425,0.0,4.1,-1.5,88.17400360107422,-8.327995300292983
2022-01-07 05:00:00+00:00,140.19,165.2,147.505,591.581,47835.0,0.0,7233.34,68550.0,59845.015,30236.1475,0.0,4.4,-1.0,88.17400360107422,-8.327995300292983
2022-01-07 06:00:00+00:00,152.64,215.89,2.4075,489.895,47856.0,0.0,7224.5,75250.0,64099.485,31155.739999999998,0.0,4.1,-0.9,88.17400360107422,-8.327995300292983
2022-01-07 07:00:00+00:00,160.97,254.19,22.745,131.06,48105.0,0.0,7201.5,79100.0,67153.735,31836.8675,258.6025,3.9,-0.8,88.17400360107422,-8.327995300292983
2022-01-07 08:00:00+00:00,161.85,257.24,0.0,293.0665,48331.0,251.81,7179.13,79400.0,68724.7925,32042.552499999998,1585.8075,4.5,-0.2,88.17400360107422,-8.327995300292983
2022-01-07 09:00:00+00:00,161.37,254.18,0.0,400.258,48321.0,1281.59,7155.99,78550.0,69782.245,31762.2475,3199.55,4.9,0.9,88.17400360107422,-8.327995300292983
2022-01-07 10:00:00+00:00,166.06,241.22,0.0,612.5935,48317.0,2377.76,7357.02,77350.0,71396.17,30927.86,4201.395,5.9,1.8,88.17400360107422,-8.327995300292983
2022-01-07 11:00:00+00:00,166.54,240.2,0.0,486.4265,48302.0,3050.51,7558.57,77250.0,71445.7175,30218.095,4252.525,6.9,2.5,88.17400360107422,-8.327995300292983
2022-01-07 12:00:00+00:00,166.04,212.69,56.98,107.4545,48288.0,3178.05,7760.48,76600.0,70304.5,29514.0625,3432.565,7.0,2.3,88.17400360107422,-8.327995300292983
